IP,CCode,IsExit,IsGuard,Consensus(KB/s),Rate(KiB/s),Burst(KiB/s),MaxObserved(KiB/s),MaxRead(KiB/s),MaxWrite(KiB/s),LinkDown(KiB/s),LinkUp(KiB/s),Load(KiB/s)
198.100.155.54,CA,False,False,2,0,0,0,0,0,2390,2390,0
5.9.58.137,DE,False,False,2,0,0,0,0,0,2160,2160,0
185.26.124.121,LU,False,False,2,0,0,0,0,0,2040,2040,0
83.92.94.115,DK,False,False,1,0,0,0,0,0,1950,1950,0
188.226.217.142,NL,False,False,1,0,0,0,0,0,1890,1890,0
62.183.82.2,RU,False,False,1,0,0,0,0,0,1760,1760,0
23.94.215.35,US,False,False,1,0,0,0,0,0,1680,1680,0
217.251.213.17,DE,False,False,1,0,0,0,0,0,1620,1620,0
97.107.132.24,US,False,False,1,0,0,0,0,0,1560,1560,0
85.30.57.49,SE,False,False,1,0,0,0,0,0,1500,1500,0
67.168.38.248,US,False,False,1,0,0,0,0,0,1470,1470,0
109.228.158.78,SE,False,False,1,0,0,0,0,0,1420,1420,0
195.93.242.137,DE,False,False,1,0,0,0,0,0,1380,1380,0
176.116.104.49,SK,False,False,1,0,0,0,0,0,1350,1350,0
90.225.80.219,SE,False,False,1,0,0,0,0,0,1310,1310,0
84.200.73.238,DE,False,False,1,0,0,0,0,0,1260,1260,0
95.121.249.176,ES,False,False,1,0,0,0,0,0,1230,1230,0
87.118.110.158,DE,False,False,1,0,0,0,0,0,1200,1200,0
204.145.81.45,US,False,False,1,0,0,0,0,0,1160,1160,0
62.210.109.48,FR,False,False,1,0,0,0,0,0,1140,1140,0
151.236.12.76,AT,False,False,1,0,0,0,0,0,1090,1090,0
109.196.18.54,RU,False,False,1,0,0,0,0,0,1060,1060,0
88.195.222.220,FI,False,False,1,0,0,0,0,0,1010,1010,0
104.167.115.184,CA,False,False,0,0,0,0,0,0,986,986,0
176.9.143.208,DE,False,False,0,0,0,0,0,0,936,936,0
5.150.221.209,SE,False,False,0,0,0,0,0,0,879,879,0
72.82.157.213,US,False,False,0,0,0,0,0,0,844,844,0
90.184.222.118,DK,False,False,0,0,0,0,0,0,809,809,0
95.211.160.148,NL,False,False,0,0,0,0,0,0,781,781,0
93.197.252.173,DE,False,False,0,0,0,0,0,0,750,750,0
109.255.218.36,IE,False,False,0,0,0,0,0,0,719,719,0
107.188.188.57,US,False,False,0,0,0,0,0,0,692,692,0
91.64.20.185,DE,False,False,0,0,0,0,0,0,669,669,0
128.199.117.209,SG,False,False,0,0,0,0,0,0,649,649,0
31.18.4.8,DE,False,False,0,0,0,0,0,0,621,621,0
108.24.150.216,US,False,False,0,0,0,0,0,0,604,604,0
51.254.118.108,FR,False,False,0,0,0,0,0,0,581,581,0
193.174.6.20,DE,False,False,0,0,0,0,0,0,561,561,0
45.55.2.45,US,False,False,0,0,0,0,0,0,538,538,0
193.24.210.126,DE,False,False,0,0,0,0,0,0,518,518,0
67.84.197.125,US,False,False,0,0,0,0,0,0,500,500,0
95.143.172.140,DE,False,False,0,0,0,0,0,0,481,481,0
212.51.143.154,CH,False,False,0,0,0,0,0,0,461,461,0
31.220.162.63,RU,False,False,0,0,0,0,0,0,442,442,0
93.192.115.86,DE,False,False,0,0,0,0,0,0,427,427,0
37.187.176.64,FR,False,False,0,0,0,0,0,0,414,414,0
104.37.169.27,US,False,False,0,0,0,0,0,0,401,401,0
176.58.106.242,GB,False,False,0,0,0,0,0,0,387,387,0
83.150.43.37,CH,False,False,0,0,0,0,0,0,373,373,0
162.219.4.93,CA,False,False,0,0,0,0,0,0,348,348,0
104.168.170.211,US,False,False,0,0,0,0,0,0,331,331,0
128.199.94.4,SG,False,False,0,0,0,0,0,0,321,321,0
87.152.236.47,DE,False,False,0,0,0,0,0,0,308,308,0
216.12.198.83,SG,False,False,0,0,0,0,0,0,294,294,0
176.9.113.81,DE,False,False,0,0,0,0,0,0,280,280,0
178.62.217.134,NL,False,False,0,0,0,0,0,0,263,263,0
106.185.53.204,JP,False,False,0,0,0,0,0,0,253,253,0
178.79.177.148,GB,False,False,0,0,0,0,0,0,244,244,0
185.25.48.54,LT,False,False,0,0,0,0,0,0,235,235,0
62.75.241.71,DE,False,False,0,0,0,0,0,0,224,224,0
121.3.78.116,JP,False,False,0,0,0,0,0,0,213,213,0
96.9.242.48,US,False,False,0,0,0,0,0,0,206,206,0
193.154.23.69,AT,False,False,0,0,0,0,0,0,195,195,0
159.203.22.51,CA,False,False,0,0,0,0,0,0,186,186,0
85.25.84.142,DE,False,False,0,0,0,0,0,0,179,179,0
118.93.229.119,NZ,False,False,0,0,0,0,0,0,170,170,0
80.219.2.68,CH,False,False,0,0,0,0,0,0,162,162,0
205.185.122.152,US,False,False,0,0,0,0,0,0,156,156,0
88.201.217.221,RU,False,False,0,0,0,0,0,0,151,151,0
81.4.109.125,NL,False,False,0,0,0,0,0,0,140,140,0
195.91.237.150,RU,False,False,0,0,0,0,0,0,133,133,0
151.236.12.126,AT,False,False,0,0,0,0,0,0,125,125,0
37.204.131.79,RU,False,False,0,0,0,0,0,0,119,119,0
95.91.10.203,DE,False,False,0,0,0,0,0,0,115,115,0
217.8.61.67,DE,False,False,0,0,0,0,0,0,109,109,0
5.145.42.65,CH,False,False,0,0,0,0,0,0,104,104,0
188.221.189.158,GB,False,False,0,0,0,0,0,0,98,98,0
108.185.226.62,US,False,False,0,0,0,0,0,0,94,94,0
72.193.133.183,US,False,False,0,0,0,0,0,0,88,88,0
130.63.173.126,CA,False,False,0,0,0,0,0,0,79,79,0
45.32.246.221,AU,False,False,0,0,0,0,0,0,73,73,0
188.166.240.194,SG,False,False,0,0,0,0,0,0,65,65,0
68.48.85.151,US,False,False,0,0,0,0,0,0,57,57,0
95.215.45.61,SE,False,False,0,0,0,0,0,0,50,50,0
51.255.211.147,FR,False,False,0,0,0,0,0,0,46,46,0
91.224.149.55,FR,False,False,0,0,0,0,0,0,41,41,0
185.16.172.155,CH,False,False,0,0,0,0,0,0,36,36,0
85.214.202.60,DE,False,False,0,0,0,0,0,0,34,34,0
66.36.130.71,CA,False,False,0,0,0,0,0,0,33,33,0
83.238.63.29,PL,False,False,0,0,0,0,0,0,33,33,0
212.224.84.234,DE,False,False,0,0,0,0,0,0,31,31,0
64.71.152.147,US,False,False,0,0,0,0,0,0,30,30,0
151.80.32.19,FR,False,False,0,0,0,0,0,0,29,29,0
85.169.43.163,FR,False,False,0,0,0,0,0,0,28,28,0
87.231.33.141,FR,False,False,0,0,0,0,0,0,27,27,0
188.107.196.116,DE,False,False,0,0,0,0,0,0,25,25,0
111.248.22.93,TW,False,False,0,0,0,0,0,0,23,23,0
104.223.101.12,US,False,False,0,0,0,0,0,0,21,21,0
98.218.4.232,US,False,False,0,0,0,0,0,0,20,20,0
84.53.247.169,RU,False,False,0,0,0,0,0,0,20,20,0
81.109.105.182,GB,False,False,0,0,0,0,0,0,19,19,0
195.202.198.60,CH,False,False,0,0,0,0,0,0,18,18,0
185.14.28.106,NL,False,False,0,0,0,0,0,0,17,17,0
74.121.182.206,US,False,False,0,0,0,0,0,0,16,16,0
185.16.60.83,DE,False,False,0,0,0,0,0,0,14,14,0
81.243.155.129,BE,False,False,0,0,0,0,0,0,14,14,0
89.239.110.112,PL,False,False,0,0,0,0,0,0,13,13,0
188.195.6.69,DE,False,False,0,0,0,0,0,0,12,12,0
80.13.121.35,FR,False,False,0,0,0,0,0,0,11,11,0
178.66.155.61,RU,False,False,0,0,0,0,0,0,10,10,0
84.59.129.44,DE,False,False,0,0,0,0,0,0,9,9,0
108.240.182.140,US,False,False,0,0,0,0,0,0,8,8,0
121.211.82.133,AU,False,False,0,0,0,0,0,0,7,7,0
92.52.32.77,SK,False,False,0,0,0,0,0,0,7,7,0
178.12.149.212,DE,False,False,0,0,0,0,0,0,5,5,0
62.157.6.12,DE,False,False,0,0,0,0,0,0,4,4,0
84.130.133.219,DE,False,False,0,0,0,0,0,0,3,3,0
72.149.229.252,US,False,False,0,0,0,0,0,0,2,2,0
46.158.199.56,RU,False,False,0,0,0,0,0,0,1,1,0
46.163.76.32,DE,False,False,0,0,0,0,0,0,1,1,0
